Type,Location,Part of Linkoping,Year Built,Rooms,Living Area,Land Area,price
Apartment,Linkoping,Skaggetorp,2017,2,80.0,0.0,1150000
Apartment,Linkoping,Skaggetorp,2018,3,95.0,0.0,1400000
Apartment,Linkoping,Skaggetorp,2019,2,70.0,0.0,1050000
Apartment,Linkoping,Skaggetorp,2020,3,100.0,0.0,1500000
Apartment,Linkoping,Skaggetorp,2021,2,80.0,0.0,1200000
Apartment,Linkoping,Skaggetorp,2022,3,75.0,0.0,1125000
Apartment,Linkoping,Skaggetorp,2023,2,90.0,0.0,1350000
Apartment,Linkoping,Skaggetorp,2024,3,95.0,0.0,1425000
Apartment,Linkoping,Skaggetorp,2024,2,75.0,0.0,1150000
Apartment,Linkoping,Skaggetorp,2024,3,85.0,0.0,1275000
Apartment,Linkoping,Skaggetorp,2023,1,65.0,0.0,900000
Apartment,Linkoping,Skaggetorp,2023,2,70.0,0.0,1050000
Apartment,Linkoping,Skaggetorp,2022,3,90.0,0.0,1300000
Apartment,Linkoping,Skaggetorp,2021,1,55.0,0.0,800000
Apartment,Linkoping,Skaggetorp,2020,3,95.0,0.0,1450000
Apartment,Linkoping,Skaggetorp,2019,2,80.0,0.0,1200000
Apartment,Linkoping,Skaggetorp,2018,3,88.0,0.0,1320000
Apartment,Linkoping,Skaggetorp,2017,1,60.0,0.0,850000
Apartment,Linkoping,Skaggetorp,2016,2,70.0,0.0,1050000
Apartment,Linkoping,Skaggetorp,2015,3,78.0,0.0,1200000
Apartment,Linkoping,Skaggetorp,2014,2,62.0,0.0,930000
Apartment,Linkoping,Skaggetorp,2013,3,95.0,0.0,1350000
Apartment,Linkoping,Skaggetorp,2012,2,85.0,0.0,1150000
Apartment,Linkoping,Skaggetorp,2011,3,90.0,0.0,1300000
Apartment,Linkoping,Skaggetorp,2010,2,75.0,0.0,1100000
Apartment,Linkoping,Skaggetorp,2009,3,100.0,0.0,1500000
Apartment,Linkoping,Skaggetorp,2008,2,80.0,0.0,1150000
Apartment,Linkoping,Skaggetorp,2007,3,95.0,0.0,1400000
Apartment,Linkoping,Skaggetorp,2006,2,70.0,0.0,1000000
Apartment,Linkoping,Centralt,1960,3,65.0,0.0,2475000
Apartment,Linkoping,Centralt,1975,2,50.0,0.0,1900000
Apartment,Linkoping,Centralt,1980,2,45.0,0.0,1680000
Apartment,Linkoping,Centralt,1995,3,80.0,0.0,3000000
Apartment,Linkoping,Centralt,2005,2,70.0,0.0,2550000
Apartment,Linkoping,Centralt,2005,3,90.0,0.0,3400000
Apartment,Linkoping,Centralt,2000,2,65.0,0.0,2250000
Apartment,Linkoping,Centralt,1990,1,40.0,0.0,1500000
Apartment,Linkoping,Centralt,2008,2,60.0,0.0,2250000
Apartment,Linkoping,Centralt,2009,1,35.0,0.0,1300000
Apartment,Linkoping,Centralt,2005,3,75.0,0.0,2850000
Apartment,Linkoping,Centralt,2000,2,80.0,0.0,3000000
Apartment,Linkoping,Centralt,2007,3,100.0,0.0,3800000
Apartment,Linkoping,Centralt,2006,2,55.0,0.0,2200000
Apartment,Linkoping,Centralt,2004,2,70.0,0.0,2600000
Apartment,Linkoping,Centralt,2003,1,45.0,0.0,1700000
Apartment,Linkoping,Centralt,2001,2,55.0,0.0,2200000
Apartment,Linkoping,Centralt,2000,3,85.0,0.0,3150000
Apartment,Linkoping,Centralt,1999,2,65.0,0.0,2500000
Apartment,Linkoping,Centralt,1998,3,75.0,0.0,2850000
Apartment,Linkoping,Centralt,1995,2,50.0,0.0,1750000
Apartment,Linkoping,Centralt,1998,3,70.0,0.0,2450000
Apartment,Linkoping,Centralt,2005,2,80.0,0.0,3040000
Apartment,Linkoping,Centralt,2009,3,90.0,0.0,3420000
Apartment,Linkoping,Centralt,1985,2,65.0,0.0,2150000
Apartment,Linkoping,Centralt,1990,1,40.0,0.0,1380000
Apartment,Linkoping,Centralt,2008,3,100.0,0.0,3800000
Apartment,Linkoping,Centralt,2007,2,75.0,0.0,2850000
Apartment,Linkoping,Centralt,1992,2,55.0,0.0,1750000
Apartment,Linkoping,Centralt,1980,2,60.0,0.0,2000000
Apartment,Linkoping,Centralt,1993,3,80.0,0.0,2900000
Apartment,Linkoping,Centralt,2000,1,45.0,0.0,1710000
Apartment,Linkoping,Centralt,1988,2,70.0,0.0,2250000
Apartment,Linkoping,Centralt,1996,3,75.0,0.0,2625000
Apartment,Linkoping,Centralt,2005,2,65.0,0.0,2470000
Apartment,Linkoping,Centralt,1991,3,85.0,0.0,2900000
Apartment,Linkoping,Centralt,2004,2,50.0,0.0,1900000
Apartment,Linkoping,Centralt,1997,2,55.0,0.0,1925000
Apartment,Linkoping,Centralt,2006,3,90.0,0.0,3420000
Apartment,Linkoping,Centralt,1994,1,35.0,0.0,1230000
Apartment,Linkoping,Centralt,1989,2,68.0,0.0,2270000
Apartment,Linkoping,Centralt,1985,2,60.0,0.0,2100000
Apartment,Linkoping,Centralt,1994,3,80.0,0.0,2800000
Apartment,Linkoping,Centralt,1996,2,55.0,0.0,1925000
Apartment,Linkoping,Centralt,2009,1,40.0,0.0,1520000
Apartment,Linkoping,Centralt,2008,2,70.0,0.0,2660000
Apartment,Linkoping,Centralt,2001,3,90.0,0.0,3420000
Apartment,Linkoping,Centralt,1992,2,65.0,0.0,2250000
Apartment,Linkoping,Centralt,1990,1,45.0,0.0,1580000
Apartment,Linkoping,Centralt,1999,3,85.0,0.0,2975000
Apartment,Linkoping,Centralt,2003,2,50.0,0.0,1850000
Apartment,Linkoping,Garnisonen,2005,3,90.0,0.0,3150000
Apartment,Linkoping,Garnisonen,2008,2,75.0,0.0,2700000
Apartment,Linkoping,Garnisonen,2012,2,65.0,0.0,3900000
Apartment,Linkoping,Garnisonen,2009,4,110.0,0.0,3850000
Apartment,Linkoping,Garnisonen,2003,3,80.0,0.0,2800000
Apartment,Linkoping,Garnisonen,2011,2,70.0,0.0,3500000
Apartment,Linkoping,Garnisonen,2007,2,60.0,0.0,2750000
Apartment,Linkoping,Garnisonen,2014,3,95.0,0.0,4000000
Apartment,Linkoping,Garnisonen,2006,3,85.0,0.0,2900000
Apartment,Linkoping,Garnisonen,2002,2,55.0,0.0,2350000
Apartment,Linkoping,Garnisonen,2015,3,100.0,0.0,4200000
Apartment,Linkoping,Garnisonen,2001,4,120.0,0.0,3300000
Apartment,Linkoping,Garnisonen,2010,2,68.0,0.0,3600000
Apartment,Linkoping,Garnisonen,2004,3,80.0,0.0,3000000
Apartment,Linkoping,Garnisonen,2000,2,50.0,0.0,2200000
Apartment,Linkoping,Garnisonen,2013,1,45.0,0.0,2900000
Apartment,Linkoping,Garnisonen,2009,2,78.0,0.0,2750000
Apartment,Linkoping,Garnisonen,2016,3,95.0,0.0,4300000
Apartment,Linkoping,Garnisonen,2002,2,62.0,0.0,2400000
Apartment,Linkoping,Garnisonen,2018,4,110.0,0.0,4500000
Apartment,Linkoping,Garnisonen,2019,3,88.0,0.0,3900000
Apartment,Linkoping,Garnisonen,2000,3,75.0,0.0,2500000
Apartment,Linkoping,Garnisonen,2005,3,75.0,0.0,2900000
Apartment,Linkoping,Garnisonen,2010,3,75.0,0.0,3200000
Apartment,Linkoping,Garnisonen,2015,3,75.0,0.0,3500000
Apartment,Linkoping,Garnisonen,2020,3,75.0,0.0,3800000
Apartment,Linkoping,Garnisonen,2001,2,70.0,0.0,2400000
Apartment,Linkoping,Garnisonen,2006,2,70.0,0.0,2800000
Apartment,Linkoping,Garnisonen,2011,2,70.0,0.0,3100000
Apartment,Linkoping,Garnisonen,2016,2,70.0,0.0,3400000
Apartment,Linkoping,Garnisonen,2021,2,70.0,0.0,3700000
Apartment,Linkoping,Garnisonen,1995,1,50.0,0.0,2000000
Apartment,Linkoping,Garnisonen,2000,1,50.0,0.0,2200000
Apartment,Linkoping,Garnisonen,2005,1,50.0,0.0,2400000
Apartment,Linkoping,Garnisonen,2010,1,50.0,0.0,2600000
Apartment,Linkoping,Garnisonen,2015,1,50.0,0.0,2800000
Apartment,Linkoping,Garnisonen,1990,4,90.0,0.0,3000000
Apartment,Linkoping,Garnisonen,1995,4,90.0,0.0,3200000
Apartment,Linkoping,Garnisonen,2000,4,90.0,0.0,3500000
Apartment,Linkoping,Garnisonen,2005,4,90.0,0.0,3800000
Apartment,Linkoping,Garnisonen,2010,4,90.0,0.0,4100000
Apartment,Linkoping,Garnisonen,1995,2,65.0,0.0,2100000
Apartment,Linkoping,Garnisonen,2000,2,65.0,0.0,2400000
Apartment,Linkoping,Garnisonen,2006,2,65.0,0.0,2600000
Apartment,Linkoping,Garnisonen,2012,2,65.0,0.0,3000000
Apartment,Linkoping,Garnisonen,2018,2,65.0,0.0,3300000
Apartment,Linkoping,Garnisonen,2001,1,55.0,0.0,2200000
Apartment,Linkoping,Garnisonen,2004,1,55.0,0.0,2400000
Apartment,Linkoping,Garnisonen,2009,1,55.0,0.0,2700000
Apartment,Linkoping,Garnisonen,2013,1,55.0,0.0,2900000
Apartment,Linkoping,Garnisonen,2017,1,55.0,0.0,3100000
Apartment,Linkoping,Ekkallan,1965,2,75.0,0.0,1875000
Apartment,Linkoping,Ekkallan,1970,3,80.0,0.0,2720000
Apartment,Linkoping,Ekkallan,1960,2,70.0,0.0,1750000
Apartment,Linkoping,Ekkallan,1968,3,85.0,0.0,2890000
Apartment,Linkoping,Ekkallan,1963,1,50.0,0.0,1250000
Apartment,Linkoping,Ekkallan,1971,2,70.0,0.0,2380000
Apartment,Linkoping,Ekkallan,1965,2,60.0,0.0,1500000
Apartment,Linkoping,Ekkallan,1969,3,90.0,0.0,3060000
Apartment,Linkoping,Ekkallan,1972,2,80.0,0.0,2720000
Apartment,Linkoping,Ekkallan,1964,1,45.0,0.0,1125000
Apartment,Linkoping,Ekkallan,1995,2,70.0,0.0,1750000
Apartment,Linkoping,Ekkallan,2000,3,70.0,0.0,1850000
Apartment,Linkoping,Ekkallan,2010,3,70.0,0.0,2050000
Apartment,Linkoping,Ekkallan,2015,2,70.0,0.0,2150000
Apartment,Linkoping,Ekkallan,1990,3,90.0,0.0,2450000
Apartment,Linkoping,Ekkallan,2001,2,90.0,0.0,2550000
Apartment,Linkoping,Ekkallan,2008,3,90.0,0.0,2700000
Apartment,Linkoping,Ekkallan,2012,2,90.0,0.0,2850000
Apartment,Linkoping,Ekkallan,2019,3,90.0,0.0,3000000
House,Linkoping,Ekkallan,2002,6,180,400,6300000
House,Linkoping,Ekkallan,2003,5,190,410,6450000
House,Linkoping,Ekkallan,2004,6,200,450,6800000
House,Linkoping,Ekkallan,2005,6,185,420,6500000
House,Linkoping,Ekkallan,2001,5,175,390,6000000
House,Linkoping,Ekkallan,2000,6,195,430,6600000
House,Linkoping,Ekkallan,2006,5,170,380,5900000
House,Linkoping,Ekkallan,2007,6,190,410,6400000
House,Linkoping,Ekkallan,2004,5,180,405,6200000
House,Linkoping,Ekkallan,2005,6,185,415,6350000
House,Linkoping,Ekkallan,2002,6,180,350,6200000
House,Linkoping,Ekkallan,2003,6,180,400,6400000
House,Linkoping,Ekkallan,2004,6,180,450,6600000
House,Linkoping,Ekkallan,2005,6,180,500,6800000
House,Linkoping,Ekkallan,1965,5,150,350,4800000
House,Linkoping,Ekkallan,1970,6,180,400,5200000
House,Linkoping,Ekkallan,1972,4,120,300,4500000
House,Linkoping,Ekkallan,1975,7,200,500,6000000
House,Linkoping,Ekkallan,1978,6,175,450,5400000
House,Linkoping,Ekkallan,1980,5,160,400,5000000
House,Linkoping,Ekkallan,1985,3,100,250,4000000
House,Linkoping,Ekkallan,1990,8,220,600,7000000
House,Linkoping,Ekkallan,1992,5,130,300,4800000
House,Linkoping,Ekkallan,1995,6,185,550,5800000
Apartment,Linkoping,Ekkallan,1966,2,65.0,0.0,1600000
Apartment,Linkoping,Ekkallan,1975,3,85.0,0.0,2700000
Apartment,Linkoping,Ekkallan,1980,2,75.0,0.0,1900000
Apartment,Linkoping,Ekkallan,1978,1,55.0,0.0,1400000
Apartment,Linkoping,Ekkallan,1962,3,80.0,0.0,2200000
Apartment,Linkoping,Ekkallan,1992,2,70.0,0.0,1750000
Apartment,Linkoping,Ekkallan,1985,3,90.0,0.0,2500000
Apartment,Linkoping,Ekkallan,1998,2,80.0,0.0,2000000
Apartment,Linkoping,Ekkallan,2003,3,90.0,0.0,2300000
Apartment,Linkoping,Ekkallan,2010,2,70.0,0.0,2100000
Apartment,Linkoping,Valla,2013,2,46.0,0.0,1900000
Apartment,Linkoping,Valla,2013,3,99.0,0.0,4100000
Apartment,Linkoping,Valla,2013,2,46.0,0.0,2100000
Apartment,Linkoping,Valla,2013,3,99.0,0.0,3000000
Apartment,Linkoping,Valla,2011,1,32.0,0.0,1695000
Apartment,Linkoping,Valla,2011,2,61.0,0.0,2290000
Apartment,Linkoping,Valla,2011,2,61.0,0.0,2275000
Apartment,Linkoping,Valla,2011,3,86.0,0.0,3220000
Apartment,Linkoping,Valla,2012,1,35.0,0.0,1365000
Apartment,Linkoping,Valla,2014,2,55.0,0.0,2200000
Apartment,Linkoping,Valla,2013,3,80.0,0.0,3200000
Apartment,Linkoping,Valla,2011,2,50.0,0.0,1750000
Apartment,Linkoping,Valla,2010,2,65.0,0.0,2600000
Apartment,Linkoping,Valla,2015,1,40.0,0.0,1600000
Apartment,Linkoping,Valla,2013,3,90.0,0.0,3600000
Apartment,Linkoping,Valla,2012,2,45.0,0.0,1575000
Apartment,Linkoping,Valla,2011,2,70.0,0.0,2800000
Apartment,Linkoping,Valla,2013,1,36.0,0.0,1296000
Apartment,Linkoping,Valla,2005,1,35.0,0.0,1225000
Apartment,Linkoping,Valla,2003,2,55.0,0.0,1925000
Apartment,Linkoping,Valla,2004,3,80.0,0.0,2800000
Apartment,Linkoping,Valla,2002,2,50.0,0.0,1500000
Apartment,Linkoping,Valla,2000,2,65.0,0.0,2275000
House,Linkoping,Valla,1932,6,170.0,724.0,8630000
House,Linkoping,Valla,1946,5,134.0,716.0,7550000
House,Linkoping,Valla,2010,5,166.0,395.0,6250000
House,Linkoping,Valla,2009,5,150.0,204.0,5800000
House,Linkoping,Valla,2010,5,165.0,414.0,8225000
House,Linkoping,Valla,2005,5,100.0,300.0,4500000
House,Linkoping,Valla,2015,4,85.0,250.0,4250000
House,Linkoping,Valla,2012,6,140.0,600.0,5500000
House,Linkoping,Valla,2011,5,130.0,500.0,5200000
House,Linkoping,Valla,2013,5,120.0,400.0,4800000
House,Linkoping,Valla,2010,5,100.0,200.0,4000000
House,Linkoping,Valla,2010,5,100.0,300.0,4500000
House,Linkoping,Valla,2010,5,100.0,400.0,5000000
House,Linkoping,Valla,2010,5,100.0,500.0,5500000
House,Linkoping,Valla,2010,5,100.0,600.0,6000000
House,Linkoping,Valla,2012,4,90.0,150.0,3600000
House,Linkoping,Valla,2011,5,100.0,200.0,4200000
House,Linkoping,Valla,2010,5,100.0,250.0,4500000
House,Linkoping,Valla,2009,5,100.0,300.0,4700000
House,Linkoping,Valla,2008,4,85.0,180.0,3900000
House,Linkoping,Valla,2007,6,120.0,250.0,4800000
House,Linkoping,Valla,2006,5,95.0,350.0,4900000
House,Linkoping,Valla,2005,5,110.0,400.0,5000000
House,Linkoping,Valla,2004,6,140.0,500.0,5250000
House,Linkoping,Valla,2003,4,80.0,250.0,3800000
House,Linkoping,Valla,2005,5,100.0,0.0,4000000
House,Linkoping,Valla,2006,5,100.0,200.0,4200000
House,Linkoping,Valla,2007,5,100.0,250.0,4400000
House,Linkoping,Valla,2008,5,100.0,300.0,4500000
House,Linkoping,Valla,2009,5,100.0,350.0,4700000
House,Linkoping,Valla,2010,5,100.0,400.0,5000000
House,Linkoping,Valla,2011,5,100.0,450.0,5250000
House,Linkoping,Valla,2012,5,100.0,500.0,5500000
House,Linkoping,Valla,2013,5,100.0,600.0,6000000
House,Linkoping,Valla,2014,5,100.0,700.0,6200000
House,Linkoping,Valla,2015,5,100.0,800.0,6400000
House,Linkoping,Valla,2016,5,100.0,900.0,6600000
House,Linkoping,Valla,2017,5,100.0,1000.0,6800000
Apartment,Linkoping,Garnisonen,2011,3,100.0,0.0,2700000
Apartment,Linkoping,Garnisonen,2009,4,104.0,0.0,2808000
Apartment,Linkoping,Garnisonen,2010,4,103.0,0.0,2781000
Apartment,Linkoping,Garnisonen,2008,4,110.0,0.0,2970000
Apartment,Linkoping,Garnisonen,2006,3,90.0,0.0,2430000
